period,ISNE,NYIS,PJM
2019-01-01,52615,43911,
2019-01-02,46148,53503,
2019-01-03,37203,58618,
2019-01-04,46862,57672,
2019-01-05,52435,62824,
2019-01-06,52376,52781,
2019-01-07,58333,63044,
2019-01-08,48091,55955,
2019-01-09,54079,55674,
2019-01-10,51895,54014,
2019-01-11,49938,51966,
2019-01-12,45895,55937,
2019-01-13,43106,52283,
2019-01-14,41069,42661,
2019-01-15,41356,54916,
2019-01-16,42059,53764,
2019-01-17,45423,39696,
2019-01-18,39355,45933,
2019-01-19,43991,28911,
2019-01-20,41872,41832,
2019-01-21,47746,34434,
2019-01-22,45551,39068,
2019-01-23,41377,50273,
2019-01-24,55343,58101,
2019-01-25,55982,57683,
2019-01-26,48799,57216,
2019-01-27,49550,58712,
2019-01-28,61232,49654,
2019-01-29,47650,55198,
2019-01-30,53091,60197,
2019-01-31,54904,45107,
2019-02-01,52613,55691,
2019-02-02,52949,63862,
2019-02-03,53320,64065,
2019-02-04,48614,63888,
2019-02-05,51600,50720,
2019-02-06,51642,38627,
2019-02-07,50910,44160,
2019-02-08,47494,43474,
2019-02-09,51029,51407,
2019-02-10,48355,50477,
2019-02-11,49163,64209,
2019-02-12,37885,46846,
2019-02-13,44391,59619,
2019-02-14,43262,58034,
2019-02-15,39531,56498,
2019-02-16,48350,46626,
2019-02-17,54282,52580,
2019-02-18,44441,57251,
2019-02-19,47979,54155,
2019-02-20,38726,59342,
2019-02-21,36231,44567,
2019-02-22,42477,50431,
2019-02-23,42986,56620,
2019-02-24,39076,42784,
2019-02-25,47682,51574,
2019-02-26,42548,54061,
2019-02-27,41286,49649,
2019-02-28,39299,53834,
2019-03-01,41669,53046,
2019-03-02,42496,46949,
2019-03-03,43752,47697,
2019-03-04,41506,51736,
2019-03-05,41988,55353,
2019-03-06,38263,50812,
2019-03-07,40216,55775,
2019-03-08,41433,57954,
2019-03-09,46865,52923,
2019-03-10,40599,44607,
2019-03-11,47421,46147,
2019-03-12,45840,48673,
2019-03-13,46921,47452,
2019-03-14,45185,45859,
2019-03-15,48198,43532,
2019-03-16,50470,44450,
2019-03-17,50324,53620,
2019-03-18,46813,59629,
2019-03-19,41726,57499,
2019-03-20,43249,62974,
2019-03-21,50889,59275,
2019-03-22,51394,63288,
2019-03-23,53038,49247,
2019-03-24,53059,53456,
2019-03-25,45668,50314,
2019-03-26,44993,51996,
2019-03-27,43890,55973,
2019-03-28,46982,59346,
2019-03-29,47976,55269,
2019-03-30,48815,44670,
2019-03-31,48361,48328,
2019-04-01,48384,57644,
2019-04-02,50119,57560,
2019-04-03,46915,45791,
2019-04-04,48462,39045,
2019-04-05,49743,45113,
2019-04-06,44921,43333,
2019-04-07,45138,49737,
2019-04-08,35799,41715,
2019-04-09,32927,40648,
2019-04-10,37726,45945,
2019-04-11,40607,53122,
2019-04-12,43863,54862,
2019-04-13,47186,30942,
2019-04-14,43450,41649,
2019-04-15,42308,44387,
2019-04-16,40409,39616,
2019-04-17,43386,56349,
2019-04-18,40377,47136,
2019-04-19,43084,58022,
2019-04-20,40453,41505,
2019-04-21,42987,47374,
2019-04-22,38140,52297,
2019-04-23,36908,56074,
2019-04-24,33452,39058,
2019-04-25,35900,41020,
2019-04-26,35825,38019,
2019-04-27,44726,34292,
2019-04-28,43058,42231,
2019-04-29,45688,52621,
2019-04-30,43067,45958,
2019-05-01,42491,51346,
2019-05-02,38570,38451,
2019-05-03,41257,37158,
2019-05-04,41905,36218,
2019-05-05,41731,49296,
2019-05-06,40702,42540,
2019-05-07,41614,37023,
2019-05-08,43243,44986,
2019-05-09,41403,41120,
2019-05-10,39425,38770,
2019-05-11,39335,22332,
2019-05-12,42646,43458,
2019-05-13,38673,40433,
2019-05-14,41721,48632,
2019-05-15,44592,47666,
2019-05-16,47199,46487,
2019-05-17,44359,41925,
2019-05-18,50224,33965,
2019-05-19,45747,50913,
2019-05-20,44991,46969,
2019-05-21,41777,35994,
2019-05-22,49473,45294,
2019-05-23,47675,52057,
2019-05-24,49230,43133,
2019-05-25,43669,37309,
2019-05-26,43365,44769,
2019-05-27,40456,44216,
2019-05-28,40720,49999,
2019-05-29,44507,50025,
2019-05-30,31694,42221,
2019-05-31,43135,47868,
2019-06-01,37711,53260,
2019-06-02,41414,50851,
2019-06-03,36499,38576,
2019-06-04,34310,43218,
2019-06-05,36310,41543,
2019-06-06,38453,51080,
2019-06-07,39256,46755,
2019-06-08,40119,45387,
2019-06-09,40468,59017,
2019-06-10,38597,62322,
2019-06-11,38532,56375,
2019-06-12,43642,58025,
2019-06-13,39231,56448,
2019-06-14,42239,55724,
2019-06-15,41211,53000,
2019-06-16,48302,57063,
2019-06-17,48690,64938,
2019-06-18,50633,57917,
2019-06-19,50207,52363,
2019-06-20,49881,56578,
2019-06-21,50029,59788,
2019-06-22,56615,57043,
2019-06-23,55531,54931,
2019-06-24,50501,54735,
2019-06-25,44162,52701,
2019-06-26,52453,53225,
2019-06-27,58555,49690,
2019-06-28,56868,51052,
2019-06-29,53416,53326,
2019-06-30,49242,58469,
2019-07-01,55947,56716,
2019-07-02,46046,55118,
2019-07-03,54826,57856,
2019-07-04,49503,60664,
2019-07-05,52109,60950,
2019-07-06,51918,64547,
2019-07-07,54232,65291,
2019-07-08,47486,60369,
2019-07-09,52319,55992,
2019-07-10,44984,54780,
2019-07-11,53298,50096,
2019-07-12,54809,52841,
2019-07-13,46045,69620,
2019-07-14,42130,70833,
2019-07-15,52139,66757,
2019-07-16,53461,65556,
2019-07-17,54840,51100,
2019-07-18,64493,61603,
2019-07-19,63731,56809,
2019-07-20,57937,54602,
2019-07-21,59341,53371,
2019-07-22,56611,57174,
2019-07-23,62516,60732,
2019-07-24,63154,59625,
2019-07-25,60945,57565,
2019-07-26,54849,49961,
2019-07-27,66764,36840,
2019-07-28,54296,61869,
2019-07-29,53852,63867,
2019-07-30,56986,63273,
2019-07-31,61204,59712,
2019-08-01,64972,56177,
2019-08-02,65544,56731,
2019-08-03,62835,24824,
2019-08-04,63147,53061,
2019-08-05,65020,55534,
2019-08-06,58920,53454,
2019-08-07,63024,50578,
2019-08-08,65047,53938,
2019-08-09,59742,55219,
2019-08-10,49843,54939,
2019-08-11,56560,54260,
2019-08-12,60186,49839,
2019-08-13,57003,53719,
2019-08-14,47966,55882,
2019-08-15,49846,55833,
2019-08-16,49603,53232,
2019-08-17,45508,54196,
2019-08-18,44647,54827,
2019-08-19,42829,48368,
2019-08-20,55282,51244,
2019-08-21,56130,49578,
2019-08-22,54294,55716,
2019-08-23,52764,54494,
2019-08-24,59699,52391,
2019-08-25,55048,53667,
2019-08-26,52769,56208,
2019-08-27,54886,53554,
2019-08-28,56919,53573,
2019-08-29,54280,53506,
2019-08-30,56104,53327,
2019-08-31,52191,55435,
2019-09-01,48495,49189,
2019-09-02,50838,49145,
2019-09-03,48356,35015,
2019-09-04,51836,42188,
2019-09-05,60030,45669,
2019-09-06,55368,46206,
2019-09-07,58528,49763,
2019-09-08,59636,53906,
2019-09-09,51074,53808,
2019-09-10,53610,52576,
2019-09-11,53152,44820,
2019-09-12,48760,47666,
2019-09-13,49266,40694,
2019-09-14,52858,41891,
2019-09-15,43368,48746,
2019-09-16,30626,43252,
2019-09-17,43429,42341,
2019-09-18,53223,47870,
2019-09-19,50981,44655,
2019-09-20,51307,48158,
2019-09-21,60904,45928,
2019-09-22,59437,50933,
2019-09-23,55502,52646,
2019-09-24,56875,51104,
2019-09-25,54703,54065,
2019-09-26,45029,51392,
2019-09-27,52067,52952,
2019-09-28,45026,49513,
2019-09-29,55107,51489,
2019-09-30,23055,48166,
2019-10-01,14535,42627,
2019-10-02,19336,47540,
2019-10-03,18380,43145,
2019-10-04,15379,44687,
2019-10-05,17149,42135,
2019-10-06,13689,37378,
2019-10-07,17653,36337,
2019-10-08,16205,33968,
2019-10-09,12450,37693,
2019-10-10,11249,37295,
2019-10-11,11401,41120,
2019-10-12,12978,16323,
2019-10-13,16357,15284,
2019-10-14,30458,14293,
2019-10-15,38878,12754,
2019-10-16,34272,14480,
2019-10-17,41203,12314,
2019-10-18,39505,14172,
2019-10-19,47419,17111,
2019-10-20,41203,17331,
2019-10-21,46459,14446,
2019-10-22,47007,14386,
2019-10-23,51980,29339,
2019-10-24,49605,36542,
2019-10-25,58399,37214,
2019-10-26,53073,39646,
2019-10-27,44557,33667,
2019-10-28,43824,35214,
2019-10-29,46291,33288,
2019-10-30,50807,38224,
2019-10-31,49215,37779,
2019-11-01,52016,31657,
2019-11-02,50394,41281,
2019-11-03,49646,41581,
2019-11-04,53574,40104,
2019-11-05,52117,44957,
2019-11-06,55144,33681,
2019-11-07,50924,33308,
2019-11-08,51149,32035,
2019-11-09,47757,35052,
2019-11-10,51496,25842,
2019-11-11,47638,34373,
2019-11-12,50651,39010,
2019-11-13,49390,41887,
2019-11-14,45759,50236,
2019-11-15,48515,47689,
2019-11-16,57791,45898,
2019-11-17,45141,45317,
2019-11-18,42409,44112,
2019-11-19,46120,47325,
2019-11-20,48275,44674,
2019-11-21,45684,51633,
2019-11-22,42935,34400,
2019-11-23,46591,46578,
2019-11-24,44575,49803,
2019-11-25,46989,47546,
2019-11-26,38833,45609,
2019-11-27,46801,46209,
2019-11-28,43401,40849,
2019-11-29,45122,39634,
2019-11-30,41943,50424,
2019-12-01,41069,41117,
2019-12-02,44173,53604,
2019-12-03,46865,55988,
2019-12-04,45839,56650,
2019-12-05,38968,53962,
2019-12-06,46845,51141,
2019-12-07,46009,42921,
2019-12-08,44260,39921,
2019-12-09,51065,42381,
2019-12-10,47986,35298,
2019-12-11,51133,40850,
2019-12-12,51012,49348,
2019-12-13,40840,48111,
2019-12-14,51338,38883,
2019-12-15,51542,34002,
2019-12-16,48817,43253,
2019-12-17,49731,49333,
2019-12-18,43733,54606,
2019-12-19,53737,43589,
2019-12-20,54137,50315,
2019-12-21,48816,47041,
2019-12-22,47793,44646,
2019-12-23,44615,41199,
2019-12-24,49730,40642,
2019-12-25,50035,24883,
2019-12-26,47495,43130,
2019-12-27,41022,34666,
2019-12-28,51561,29707,
2019-12-29,52802,39643,
2019-12-30,47485,41695,
2019-12-31,45978,47499,
2020-01-01,47649,44617,
2020-01-02,48295,47073,
2020-01-03,44009,45686,
2020-01-04,45481,53370,
2020-01-05,47716,58503,
2020-01-06,39335,54454,
2020-01-07,41666,56959,
2020-01-08,39082,54613,
2020-01-09,41163,55752,
2020-01-10,38009,42874,
2020-01-11,44472,38008,
2020-01-12,41906,34089,
2020-01-13,34423,42369,
2020-01-14,33346,46993,
2020-01-15,33329,47274,
2020-01-16,34986,49015,
2020-01-17,43607,41276,
2020-01-18,36782,46485,
2020-01-19,40338,43974,
2020-01-20,42639,43101,
2020-01-21,34554,48285,
2020-01-22,33387,53120,
2020-01-23,38494,51782,
2020-01-24,36993,57641,
2020-01-25,38010,42260,
2020-01-26,42318,46596,
2020-01-27,40254,56326,
2020-01-28,52618,57124,
2020-01-29,44738,55614,
2020-01-30,38734,52821,
2020-01-31,41852,54327,
2020-02-01,38844,60254,
2020-02-02,46382,67644,
2020-02-03,48171,58423,
2020-02-04,43785,52414,
2020-02-05,45331,56476,
2020-02-06,38459,63248,
2020-02-07,44780,63322,
2020-02-08,45827,53437,
2020-02-09,38525,52738,
2020-02-10,43368,56053,
2020-02-11,47202,59127,
2020-02-12,44365,57600,
2020-02-13,42859,59410,
2020-02-14,39603,46434,
2020-02-15,34814,57094,
2020-02-16,39929,45601,
2020-02-17,44470,54249,
2020-02-18,37187,51673,
2020-02-19,43333,46734,
2020-02-20,39712,55595,
2020-02-21,35659,58737,
2020-02-22,38302,45430,
2020-02-23,33738,49608,
2020-02-24,39591,49703,
2020-02-25,42969,58223,
2020-02-26,39713,50469,
2020-02-27,39929,45531,
2020-02-28,40810,43915,
2020-02-29,35551,45530,
2020-03-01,37077,49029,
2020-03-02,38105,18091,
2020-03-03,40226,8435,
2020-03-04,48617,6999,
2020-03-05,56257,22782,
2020-03-06,48406,48098,
2020-03-07,47169,42855,
2020-03-08,37289,44111,
2020-03-09,37687,41378,
2020-03-10,36165,34314,
2020-03-11,42860,40952,
2020-03-12,41791,48226,
2020-03-13,41266,44443,
2020-03-14,48768,42757,
2020-03-15,51657,47938,
2020-03-16,47847,42708,
2020-03-17,45139,49551,
2020-03-18,49272,40276,
2020-03-19,49249,41747,
2020-03-20,47644,47489,
2020-03-21,44241,37496,
2020-03-22,49119,43407,
2020-03-23,47156,41848,
2020-03-24,52558,49143,
2020-03-25,50752,48638,
2020-03-26,49151,51724,
2020-03-27,47965,38131,
2020-03-28,51147,51251,
2020-03-29,45162,54286,
2020-03-30,45376,57631,
2020-03-31,55852,45526,
2020-04-01,50287,54356,
2020-04-02,54608,62184,
2020-04-03,54102,57618,
2020-04-04,54479,52046,
2020-04-05,50116,51660,
2020-04-06,43720,55483,
2020-04-07,38702,56263,
2020-04-08,38626,52027,
2020-04-09,39100,56241,
2020-04-10,42322,54505,
2020-04-11,40499,54057,
2020-04-12,38946,54936,
2020-04-13,38694,47277,
2020-04-14,42494,52867,
2020-04-15,39409,43439,
2020-04-16,37821,45059,
2020-04-17,37837,43667,
2020-04-18,41350,52273,
2020-04-19,42348,45459,
2020-04-20,43716,59462,
2020-04-21,40771,50517,
2020-04-22,41858,37034,
2020-04-23,43927,55783,
2020-04-24,44002,62607,
2020-04-25,44703,62489,
2020-04-26,44180,56164,
2020-04-27,45237,60851,
2020-04-28,42274,62906,
2020-04-29,38986,49453,
2020-04-30,40574,46671,
2020-05-01,41210,53761,
2020-05-02,38209,45211,
2020-05-03,35954,43263,
2020-05-04,35387,43663,
2020-05-05,37065,43847,
2020-05-06,42278,53301,
2020-05-07,38727,55009,
2020-05-08,40896,53290,
2020-05-09,41420,44700,
2020-05-10,43869,45919,
2020-05-11,55212,52887,
2020-05-12,49210,51447,
2020-05-13,55728,39735,
2020-05-14,49068,51368,
2020-05-15,46356,42424,
2020-05-16,50291,49931,
2020-05-17,52266,50730,
2020-05-18,52087,48762,
2020-05-19,53823,50595,
2020-05-20,50899,50720,
2020-05-21,59185,46423,
2020-05-22,56721,44246,
2020-05-23,52909,43252,
2020-05-24,48380,41161,
2020-05-25,53004,27956,
2020-05-26,60373,37494,
2020-05-27,53380,45655,
2020-05-28,63650,40801,
2020-05-29,53279,49515,
2020-05-30,36196,41661,
2020-05-31,44740,35644,
2020-06-01,35213,46523,
2020-06-02,33518,43748,
2020-06-03,35393,43981,
2020-06-04,47235,46821,
2020-06-05,50859,49290,
2020-06-06,49404,54696,
2020-06-07,47946,53398,
2020-06-08,50826,49768,
2020-06-09,49992,48891,
2020-06-10,50725,53804,
2020-06-11,51106,55713,
2020-06-12,45889,54182,
2020-06-13,41565,54078,
2020-06-14,40044,51494,
2020-06-15,42301,50732,
2020-06-16,47893,49678,
2020-06-17,49631,47340,
2020-06-18,49964,47244,
2020-06-19,52583,44178,
2020-06-20,52975,45398,
2020-06-21,54308,53504,
2020-06-22,49241,47043,
2020-06-23,47570,56793,
2020-06-24,38955,56007,
2020-06-25,39974,50037,
2020-06-26,45634,52813,
2020-06-27,48643,40687,
2020-06-28,48467,41775,
2020-06-29,52864,44921,
2020-06-30,50860,41438,
2020-07-01,52446,50893,
2020-07-02,49521,50820,
2020-07-03,51883,55451,
2020-07-04,51273,54151,
2020-07-05,49256,54477,
2020-07-06,43970,51922,
2020-07-07,43109,42840,
2020-07-08,49853,44380,
2020-07-09,49286,43635,
2020-07-10,46734,41009,
2020-07-11,55303,50661,
2020-07-12,52485,54267,
2020-07-13,49879,51274,
2020-07-14,55738,49995,
2020-07-15,43787,49468,
2020-07-16,45130,49819,
2020-07-17,45342,45188,
2020-07-18,44511,52233,
2020-07-19,44936,56154,
2020-07-20,46880,58392,
2020-07-21,49643,57748,
2020-07-22,55229,58153,
2020-07-23,54084,58452,
2020-07-24,51512,56940,
2020-07-25,54648,56440,
2020-07-26,51550,50031,
2020-07-27,48685,56873,
2020-07-28,49914,59612,
2020-07-29,45400,57239,
2020-07-30,50148,61977,
2020-07-31,52032,59441,
2020-08-01,53770,54379,
2020-08-02,45404,66458,
2020-08-03,55090,60767,
2020-08-04,49413,54148,
2020-08-05,45219,49417,
2020-08-06,53958,49241,
2020-08-07,50162,50785,
2020-08-08,46775,57225,
2020-08-09,44512,59156,
2020-08-10,49173,57100,
2020-08-11,50472,62646,
2020-08-12,50400,61459,
2020-08-13,45841,52975,
2020-08-14,51750,59729,
2020-08-15,55248,50374,
2020-08-16,43781,44211,
2020-08-17,43070,43952,
2020-08-18,45432,51451,
2020-08-19,50354,42464,
2020-08-20,48400,50464,
2020-08-21,46652,45020,
2020-08-22,55025,47583,
2020-08-23,55722,45159,
2020-08-24,58950,50626,
2020-08-25,57594,43029,
2020-08-26,54904,41112,
2020-08-27,49795,46276,
2020-08-28,55954,45782,
2020-08-29,46628,49972,
2020-08-30,36346,36035,
2020-08-31,37691,36114,
2020-09-01,44104,34098,
2020-09-02,52034,39143,
2020-09-03,56860,52907,
2020-09-04,49568,51735,
2020-09-05,43725,40814,
2020-09-06,45313,43384,
2020-09-07,40362,44301,
2020-09-08,44583,49051,
2020-09-09,35893,47749,
2020-09-10,39255,54569,
2020-09-11,40874,52665,
2020-09-12,36575,42053,
2020-09-13,35922,37522,
2020-09-14,13251,43288,
2020-09-15,4893,40060,
2020-09-16,7253,41802,
2020-09-17,5605,42959,
2020-09-18,3568,50079,
2020-09-19,4970,34399,
2020-09-20,3275,40849,
2020-09-21,1302,45418,
2020-09-22,3690,36975,
2020-09-23,8786,31913,
2020-09-24,6291,39513,
2020-09-25,5174,43074,
2020-09-26,28839,42816,
2020-09-27,43490,40997,
2020-09-28,42788,34999,
2020-09-29,44793,36398,
2020-09-30,45782,32617,
2020-10-01,36655,31831,
2020-10-02,40555,31321,
2020-10-03,45766,37661,
2020-10-04,46576,34280,
2020-10-05,45331,43429,
2020-10-06,42820,45837,
2020-10-07,38126,43476,
2020-10-08,43663,30883,
2020-10-09,42204,41625,
2020-10-10,41229,35029,
2020-10-11,43662,43780,
2020-10-12,32564,49211,
2020-10-13,36403,46733,
2020-10-14,45047,43731,
2020-10-15,41071,47086,
2020-10-16,46865,49076,
2020-10-17,47602,52663,
2020-10-18,40753,47641,
2020-10-19,40700,37331,
2020-10-20,43931,39674,
2020-10-21,43641,41757,
2020-10-22,48731,43362,
2020-10-23,47140,43966,
2020-10-24,48017,41954,
2020-10-25,48342,47193,
2020-10-26,40539,41458,
2020-10-27,42884,45432,
2020-10-28,35255,50772,
2020-10-29,40239,51043,
2020-10-30,43040,49995,
2020-10-31,42780,46018,
2020-11-01,46621,48225,
2020-11-02,46889,50772,
2020-11-03,41403,47990,
2020-11-04,37961,49750,
2020-11-05,46372,41879,
2020-11-06,46039,45167,
2020-11-07,43459,42691,
2020-11-08,37936,40162,
2020-11-09,44514,45151,
2020-11-10,46498,41932,
2020-11-11,48338,39089,
2020-11-12,53857,39828,
2020-11-13,43782,45099,
2020-11-14,42578,50230,
2020-11-15,41191,22633,
2020-11-16,48317,20095,
2020-11-17,44369,23083,
2020-11-18,39782,16072,
2020-11-19,38051,21690,
2020-11-20,40140,16972,
2020-11-21,46549,11897,
2020-11-22,37982,16371,
2020-11-23,53378,16489,
2020-11-24,54404,15373,
2020-11-25,48782,20315,
2020-11-26,60143,21568,
2020-11-27,56858,18904,
2020-11-28,57372,31340,
2020-11-29,54168,34641,
2020-11-30,58032,27010,
2020-12-01,62335,45701,
2020-12-02,53110,48404,
2020-12-03,49377,51313,
2020-12-04,49453,52809,
2020-12-05,50349,56531,
2020-12-06,51866,44246,
2020-12-07,51768,59505,
2020-12-08,47378,61917,
2020-12-09,43759,62770,
2020-12-10,42996,52858,
2020-12-11,42388,48034,
2020-12-12,42631,47161,
2020-12-13,47482,39882,
2020-12-14,48316,49813,
2020-12-15,49376,43894,
2020-12-16,44791,43861,
2020-12-17,37381,58844,
2020-12-18,41971,66563,
2020-12-19,41146,68839,
2020-12-20,39604,54809,
2020-12-21,45224,61606,
2020-12-22,48026,58993,
2020-12-23,44716,66991,
2020-12-24,48663,48350,
2020-12-25,55777,57153,
2020-12-26,54783,65809,
2020-12-27,50589,67019,
2020-12-28,46766,53478,
2020-12-29,52535,60228,
2020-12-30,45613,63452,
2020-12-31,54043,51562,
2021-01-01,49212,57559,
2021-01-02,46176,52148,
2021-01-03,25522,59706,
2021-01-04,45200,61748,
2021-01-05,45719,61001,
2021-01-06,43623,62305,
2021-01-07,41928,64305,
2021-01-08,37270,60152,
2021-01-09,38435,58836,
2021-01-10,41128,65589,
2021-01-11,36771,65811,
2021-01-12,40184,63824,
2021-01-13,31495,63739,
2021-01-14,43841,61984,
2021-01-15,40034,63296,
2021-01-16,44454,58273,
2021-01-17,39498,50826,
2021-01-18,40270,60089,
2021-01-19,38596,64726,
2021-01-20,32262,61218,
2021-01-21,28554,61406,
2021-01-22,28236,63897,
2021-01-23,33633,60329,
2021-01-24,33278,51750,
2021-01-25,35810,64532,
2021-01-26,32887,62583,
2021-01-27,30879,61617,
2021-01-28,34398,64906,
2021-01-29,39650,62896,
2021-01-30,38622,69152,
2021-01-31,38064,66405,
2021-02-01,33437,65387,
2021-02-02,38082,73265,
2021-02-03,40379,66854,
2021-02-04,36423,66164,
2021-02-05,38016,59796,
2021-02-06,43159,62642,
2021-02-07,40457,57711,
2021-02-08,41905,61181,
2021-02-09,41988,66486,
2021-02-10,40345,55090,
2021-02-11,41808,56201,
2021-02-12,38702,42655,
2021-02-13,37741,59176,
2021-02-14,32782,55640,
2021-02-15,37843,63991,
2021-02-16,36628,61454,
2021-02-17,40989,58190,
2021-02-18,38487,71012,
2021-02-19,35404,64684,
2021-02-20,29856,59212,
2021-02-21,34897,57315,
2021-02-22,33418,63358,
2021-02-23,37423,55147,
2021-02-24,38065,50902,
2021-02-25,38241,50891,
2021-02-26,42066,44554,
2021-02-27,40349,20569,
2021-02-28,56374,15971,
2021-03-01,53489,22906,
2021-03-02,36230,25859,
2021-03-03,38599,33376,
2021-03-04,38777,28389,
2021-03-05,34177,44877,
2021-03-06,38264,59839,
2021-03-07,36645,51829,
2021-03-08,33232,62007,
2021-03-09,32922,47153,
2021-03-10,36617,50898,
2021-03-11,46493,40300,
2021-03-12,53241,31989,
2021-03-13,51394,44289,
2021-03-14,42386,38093,
2021-03-15,44136,44323,
2021-03-16,41107,57540,
2021-03-17,42289,57058,
2021-03-18,45606,67559,
2021-03-19,43757,55089,
2021-03-20,42463,44969,
2021-03-21,47570,50401,
2021-03-22,48502,43767,
2021-03-23,48998,33840,
2021-03-24,46856,33250,
2021-03-25,49600,27900,
2021-03-26,51835,26464,
2021-03-27,52434,27354,
2021-03-28,49821,8785,
2021-03-29,54251,22834,
2021-03-30,51779,28245,
2021-03-31,53951,30027,
2021-04-01,52291,41792,
2021-04-02,47729,41254,
2021-04-03,51172,37174,
2021-04-04,53054,24699,
2021-04-05,50128,30881,
2021-04-06,48926,42305,
2021-04-07,53378,40356,
2021-04-08,54916,32859,
2021-04-09,54052,33918,
2021-04-10,55398,40010,
2021-04-11,55049,34236,
2021-04-12,55938,44371,
2021-04-13,55500,47267,
2021-04-14,54486,44815,
2021-04-15,52548,42672,
2021-04-16,51413,45419,
2021-04-17,39958,34815,
2021-04-18,42772,24842,
2021-04-19,44897,38297,
2021-04-20,42446,32023,
2021-04-21,42442,38171,
2021-04-22,45631,32126,
2021-04-23,42668,33688,
2021-04-24,44202,29601,
2021-04-25,43810,26155,
2021-04-26,44158,33757,
2021-04-27,41147,39716,
2021-04-28,40395,37683,
2021-04-29,36466,36457,
2021-04-30,45635,23114,
2021-05-01,50095,24922,
2021-05-02,49894,22060,
2021-05-03,43768,36683,
2021-05-04,35133,35863,
2021-05-05,37558,33680,
2021-05-06,35902,33494,
2021-05-07,33049,35790,
2021-05-08,38920,30616,
2021-05-09,45246,25905,
2021-05-10,38250,32799,
2021-05-11,37473,29600,
2021-05-12,37868,35353,
2021-05-13,39384,37013,
2021-05-14,40910,36251,
2021-05-15,48769,31651,
2021-05-16,50271,30671,
2021-05-17,47083,36181,
2021-05-18,48748,33914,
2021-05-19,47959,36309,
2021-05-20,47492,41426,
2021-05-21,49068,44382,
2021-05-22,53117,34219,
2021-05-23,53048,39737,
2021-05-24,46282,40024,
2021-05-25,52948,37216,
2021-05-26,51460,39227,
2021-05-27,49588,43497,
2021-05-28,40839,61470,
2021-05-29,41837,66380,
2021-05-30,42259,66517,
2021-05-31,43545,59237,
2021-06-01,47376,50003,
2021-06-02,52853,47674,
2021-06-03,56622,45698,
2021-06-04,52846,53384,
2021-06-05,52254,49799,
2021-06-06,51844,54961,
2021-06-07,49402,51854,
2021-06-08,54394,42573,
2021-06-09,51277,49088,
2021-06-10,51974,48026,
2021-06-11,44103,33279,
2021-06-12,46916,36848,
2021-06-13,57657,33853,
2021-06-14,53876,44423,
2021-06-15,55158,33115,
2021-06-16,46328,45339,
2021-06-17,47356,47378,
2021-06-18,43730,45462,
2021-06-19,52324,46575,
